id_direccion,id_cliente,id_tipo_vial,id_nom_vial,id_tipo_vial1,id_nom_vial1,id_tipo_vial2,id_nom_vial2,id_tipo_vial3,id_nom_vial3,numero_ext,numero_int,id_tipo_asent,id_nombre_asent,cod_postal
229,9902430,7,10109,7,220,7,145,7,10109,305,#N/A,8,4635,22920
230,9045925,5,15402,7,1023,7,13439,7,7674,2090,7,8,#N/A,#N/A
231,7759570,7,2796,7,12280,7,12280,7,12280,2367,#N/A,8,3126,#N/A
232,9301099,7,11615,7,7572,7,12280,7,12280,0,0,13,3413,#N/A
233,6186038,7,15925,5,14563,5,8928,6,555,1762,#N/A,8,5125,#N/A
234,9287594,5,12330,7,12280,7,14019,5,13138,8950,#N/A,8,4284,22116
235,9287595,5,12330,7,12280,7,14019,5,13138,8950,#N/A,8,4284,22116
236,6186060,10,4324,7,12280,7,12280,7,12280,0,#N/A,26,1604,#N/A
237,8601619,7,16464,7,12280,10,6548,7,13119,130,107,8,#N/A,22800
238,6285376,18,16172,7,12280,18,12280,18,12280,,#N/A,8,1547,22990
239,6716579,#N/A,16546,#N/A,16169,#N/A,16169,#N/A,16169,,#N/A,13,4506,#N/A
240,6186031,5,10717,7,445,7,13504,5,9362,616,#N/A,13,1397,#N/A
241,6186034,5,13708,7,13682,5,7862,5,13709,300,#N/A,8,1095,#N/A
242,6186049,#N/A,916,#N/A,12280,#N/A,12280,#N/A,10377,0,0,13,554,21970
243,6186048,#N/A,12280,#N/A,12280,#N/A,12280,#N/A,13422,,#N/A,13,2797,21970
244,6186056,#N/A,12280,#N/A,12280,#N/A,12280,#N/A,4605,,#N/A,13,2317,21610
245,6186052,10,11509,#N/A,12280,#N/A,12280,#N/A,12280,,#N/A,13,1367,#N/A
246,6186041,7,12280,7,12281,7,12281,7,12281,0,0,13,1401,#N/A
247,6283154,7,12280,18,12280,18,12280,7,12280,0,#N/A,8,1085,#N/A
248,6231004,7,12280,7,12280,7,12280,7,12280,,#N/A,8,4007,22990
249,6186057,7,11301,5,10717,5,6407,7,12280,203,#N/A,8,2797,#N/A
250,6186059,7,5717,7,16392,7,5345,7,12280,,#N/A,16,3838,#N/A
251,8833938,10,11496,18,12280,18,12280,18,12280,0,#N/A,26,1469,#N/A
252,9298996,10,16399,#N/A,12280,#N/A,12280,#N/A,16551,0,#N/A,26,2665,21511
253,6186055,18,12280,18,12280,18,12280,18,12280,0,#N/A,13,1363,#N/A
254,6186040,7,12280,7,12280,8,12280,7,12280,0,#N/A,13,3413,#N/A
